Selected ID,type,cost,initial quantity,quantity,node,completely matched,Matched ID,type,cost,initial quantity,quantity,ACTUAL QUANTITY TRANSFERRED,node,completely matched,social welfare
11,request,56.7,0.15,0.15,12,FALSE,12,offer,53.2,0.05,0,0.05,13,TRUE,0.175
14,offer,53.6,0.23,0.23,15,FALSE,11,request,56.7,0.15,-1.39E-17,0.1,12,TRUE,0.31
2,offer,48.9,0.08,0,3,TRUE,8,request,61.6,0.21,0.21,0.08,9,FALSE,1.016
9,request,59.6,0.12,0.12,10,FALSE,14,offer,53.6,0.23,0.13,0.118,15,FALSE,0.708
13,offer,52,0.07,0.07,14,FALSE,9,request,59.6,0.12,1.73E-18,0.002,10,TRUE,0.0152
3,offer,54.2,0.2,0.2,4,FALSE,8,request,61.6,0.21,0,0.13,9,TRUE,0.962
6,request,63.4,0.82,0.82,7,FALSE,13,offer,52,0.07,0,0.068,14,TRUE,0.7752
4,offer,52.2,0.03,0,5,TRUE,6,request,63.4,0.82,0.752,0.03,7,FALSE,0.336
7,request,57.9,1.03,1.03,8,FALSE,3,offer,54.2,0.2,0,0.07,4,TRUE,0.259
F10,offer,59.4,0.3,0,11,TRUE,6,request,63.4,0.82,0.722,0.3,7,FALSE,1.2
F4,offer,54.9,0.32,0,5,TRUE,6,request,63.4,0.82,0.422,0.32,7,FALSE,2.72
F7,offer,62.4,0.36,0.36,8,FALSE,6,request,63.4,0.82,-1.39E-17,0.102,7,TRUE,0.102
5,offer,51.7,0.1,0.1,6,FALSE,7,request,57.9,1.03,0.96,0.02,8,FALSE,0.124
,,,,,,,,,,,,1.39,,,8.7024
