ID,type,cost,initial quantity,node,completely matched
2,offer,50.9,0.03,3,True
7,offer,52.2,0.19,8,True
F1,request,55.8,0.2,2,True
1,request,57.9,0.15,2,True
9,request,55.2,0.07,10,True
F8,offer,57.1,0.18,9,True
8,offer,54.3,0.02,9,True
11,request,64.9,0.1,12,True
F9,offer,59.1,0.07,10,True
5,request,60.6,0.15,6,True
4,offer,47.6,0.2,5,True
F13,request,49.1,0.16,14,True
6,offer,40.5,0.23,7,True
12,offer,50.5,0.03,13,True
F2,request,46.1,0.26,3,True
F5,request,56.0,0.24,6,True
F12,request,47.5,0.13,13,True
10,request,56.9,0.53,11,True
